Row,Error,Row Data
66,Invalid date format for CREATE DATE at row 66: 22-07-2025 20:29:18,"{'Unnamed: 0': nan, 'No': 65, 'CREATE DATE': '22-07-2025 20:29:18', 'USERNAME': 'r9bold', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 20:30:22', 'PROCESS BY': 'xpukul69', 'AMOUNT': '98.00'}"
67,Invalid date format for CREATE DATE at row 67: 22-07-2025 20:21:25,"{'Unnamed: 0': nan, 'No': 66, 'CREATE DATE': '22-07-2025 20:21:25', 'USERNAME': 'oblog', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 20:22:27', 'PROCESS BY': 'xpukul69', 'AMOUNT': '25.00'}"
68,Invalid date format for CREATE DATE at row 68: 22-07-2025 20:17:32,"{'Unnamed: 0': nan, 'No': 67, 'CREATE DATE': '22-07-2025 20:17:32', 'USERNAME': 'noyy11', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 20:17:58', 'PROCESS BY': 'xpukul69', 'AMOUNT': '20.00'}"
69,Invalid date format for CREATE DATE at row 69: 22-07-2025 20:17:14,"{'Unnamed: 0': nan, 'No': 68, 'CREATE DATE': '22-07-2025 20:17:14', 'USERNAME': 'tenor10', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 20:17:40', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '25.00'}"
70,Invalid date format for CREATE DATE at row 70: 22-07-2025 20:14:24,"{'Unnamed: 0': nan, 'No': 69, 'CREATE DATE': '22-07-2025 20:14:24', 'USERNAME': 'turinah', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 20:15:33', 'PROCESS BY': 'xpukul69', 'AMOUNT': '18.00'}"
71,Invalid date format for CREATE DATE at row 71: 22-07-2025 20:05:19,"{'Unnamed: 0': nan, 'No': 70, 'CREATE DATE': '22-07-2025 20:05:19', 'USERNAME': 'kiki67', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 20:06:53', 'PROCESS BY': 'xpukul69', 'AMOUNT': '20.00'}"
72,Invalid date format for CREATE DATE at row 72: 22-07-2025 20:05:19,"{'Unnamed: 0': nan, 'No': 71, 'CREATE DATE': '22-07-2025 20:05:19', 'USERNAME': 'kingmoni89', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 20:05:30', 'PROCESS BY': 'zibran@xpukul69', 'AMOUNT': '100.00'}"
73,Invalid date format for CREATE DATE at row 73: 22-07-2025 20:02:40,"{'Unnamed: 0': nan, 'No': 72, 'CREATE DATE': '22-07-2025 20:02:40', 'USERNAME': 'bandit07', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 20:03:55', 'PROCESS BY': 'xpukul69', 'AMOUNT': '100.00'}"
74,Invalid date format for CREATE DATE at row 74: 22-07-2025 20:01:11,"{'Unnamed: 0': nan, 'No': 73, 'CREATE DATE': '22-07-2025 20:01:11', 'USERNAME': 'kuntul', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 20:01:58', 'PROCESS BY': 'xpukul69', 'AMOUNT': '20.00'}"
75,Invalid date format for CREATE DATE at row 75: 22-07-2025 19:48:46,"{'Unnamed: 0': nan, 'No': 74, 'CREATE DATE': '22-07-2025 19:48:46', 'USERNAME': 'sansan780', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 19:49:17', 'PROCESS BY': 'xpukul69', 'AMOUNT': '50.00'}"
